,A,B,Du,Dv
0,4.5,8.1,1.0,7.0
1,4.5,8.3,1.0,7.0
2,4.5,8.5,1.0,7.0
3,4.5,8.7,1.0,7.0
4,4.5,8.9,1.0,7.0
5,4.5,9.1,1.0,7.0
6,4.5,9.3,1.0,7.0
7,4.5,9.5,1.0,7.0
8,4.5,9.700000000000001,1.0,7.0
9,4.5,9.9,1.0,7.0
10,4.611111111111111,8.299999999999999,1.0,7.0
11,4.611111111111111,8.504938271604939,1.0,7.0
12,4.611111111111111,8.709876543209877,1.0,7.0
13,4.611111111111111,8.914814814814815,1.0,7.0
14,4.611111111111111,9.119753086419752,1.0,7.0
15,4.611111111111111,9.32469135802469,1.0,7.0
16,4.611111111111111,9.52962962962963,1.0,7.0
17,4.611111111111111,9.734567901234568,1.0,7.0
18,4.611111111111111,9.939506172839506,1.0,7.0
19,4.611111111111111,10.144444444444444,1.0,7.0
20,4.722222222222222,8.5,1.0,7.0
21,4.722222222222222,8.709876543209877,1.0,7.0
22,4.722222222222222,8.919753086419755,1.0,7.0
23,4.722222222222222,9.12962962962963,1.0,7.0
24,4.722222222222222,9.339506172839506,1.0,7.0
25,4.722222222222222,9.549382716049383,1.0,7.0
26,4.722222222222222,9.759259259259261,1.0,7.0
27,4.722222222222222,9.969135802469136,1.0,7.0
28,4.722222222222222,10.179012345679014,1.0,7.0
29,4.722222222222222,10.38888888888889,1.0,7.0
30,4.833333333333333,8.7,1.0,7.0
31,4.833333333333333,8.914814814814815,1.0,7.0
32,4.833333333333333,9.12962962962963,1.0,7.0
33,4.833333333333333,9.344444444444443,1.0,7.0
34,4.833333333333333,9.559259259259258,1.0,7.0
35,4.833333333333333,9.774074074074074,1.0,7.0
36,4.833333333333333,9.988888888888889,1.0,7.0
37,4.833333333333333,10.203703703703704,1.0,7.0
38,4.833333333333333,10.41851851851852,1.0,7.0
39,4.833333333333333,10.633333333333333,1.0,7.0
40,4.944444444444445,8.9,1.0,7.0
41,4.944444444444445,9.119753086419754,1.0,7.0
42,4.944444444444445,9.339506172839508,1.0,7.0
43,4.944444444444445,9.55925925925926,1.0,7.0
44,4.944444444444445,9.779012345679012,1.0,7.0
45,4.944444444444445,9.998765432098766,1.0,7.0
46,4.944444444444445,10.21851851851852,1.0,7.0
47,4.944444444444445,10.438271604938272,1.0,7.0
48,4.944444444444445,10.658024691358026,1.0,7.0
49,4.944444444444445,10.877777777777778,1.0,7.0
50,5.055555555555555,9.1,1.0,7.0
51,5.055555555555555,9.324691358024692,1.0,7.0
52,5.055555555555555,9.549382716049383,1.0,7.0
53,5.055555555555555,9.774074074074074,1.0,7.0
54,5.055555555555555,9.998765432098766,1.0,7.0
55,5.055555555555555,10.223456790123455,1.0,7.0
56,5.055555555555555,10.44814814814815,1.0,7.0
57,5.055555555555555,10.672839506172838,1.0,7.0
58,5.055555555555555,10.897530864197533,1.0,7.0
59,5.055555555555555,11.122222222222224,1.0,7.0
60,5.166666666666667,9.3,1.0,7.0
61,5.166666666666667,9.52962962962963,1.0,7.0
62,5.166666666666667,9.759259259259261,1.0,7.0
63,5.166666666666667,9.988888888888889,1.0,7.0
64,5.166666666666667,10.21851851851852,1.0,7.0
65,5.166666666666667,10.448148148148148,1.0,7.0
66,5.166666666666667,10.677777777777779,1.0,7.0
67,5.166666666666667,10.907407407407408,1.0,7.0
68,5.166666666666667,11.13703703703704,1.0,7.0
69,5.166666666666667,11.366666666666669,1.0,7.0
70,5.277777777777778,9.5,1.0,7.0
71,5.277777777777778,9.734567901234568,1.0,7.0
72,5.277777777777778,9.969135802469136,1.0,7.0
73,5.277777777777778,10.203703703703704,1.0,7.0
74,5.277777777777778,10.438271604938272,1.0,7.0
75,5.277777777777778,10.672839506172838,1.0,7.0
76,5.277777777777778,10.907407407407408,1.0,7.0
77,5.277777777777778,11.141975308641975,1.0,7.0
78,5.277777777777778,11.376543209876544,1.0,7.0
79,5.277777777777778,11.611111111111112,1.0,7.0
80,5.388888888888889,9.700000000000001,1.0,7.0
81,5.388888888888889,9.939506172839508,1.0,7.0
82,5.388888888888889,10.179012345679014,1.0,7.0
83,5.388888888888889,10.41851851851852,1.0,7.0
84,5.388888888888889,10.658024691358026,1.0,7.0
85,5.388888888888889,10.897530864197531,1.0,7.0
86,5.388888888888889,11.13703703703704,1.0,7.0
87,5.388888888888889,11.376543209876544,1.0,7.0
88,5.388888888888889,11.616049382716053,1.0,7.0
89,5.388888888888889,11.855555555555558,1.0,7.0
90,5.5,9.9,1.0,7.0
91,5.5,10.144444444444446,1.0,7.0
92,5.5,10.38888888888889,1.0,7.0
93,5.5,10.633333333333333,1.0,7.0
94,5.5,10.877777777777778,1.0,7.0
95,5.5,11.122222222222222,1.0,7.0
96,5.5,11.366666666666667,1.0,7.0
97,5.5,11.61111111111111,1.0,7.0
98,5.5,11.855555555555558,1.0,7.0
99,5.5,12.100000000000001,1.0,7.0
