Unnamed: 0,A,B,Du,Dv
10,1.0,1.3448275,2.029978710345649,27.868229412256717
188,1.7105263,2.1823957,1.0205313449376416,17.429881987636314
1089,5.263158,6.7150636,1.4623956791981971,44.744760409102696
72,1.2368422,1.7486389,1.4804029160069283,12.05029465166316
186,1.7105263,2.0644283,1.577373189631228,19.568257364278395
809,4.0789475,8.0172415,1.8500716929421421,33.461880356234246
1100,5.263158,8.892922,0.7606578090821952,18.333287007610842
867,4.3157897,8.185118,2.8460622421951927,45.18461005465317
914,4.5526314,6.750454,0.0965155900976864,9.142540266940614
680,3.6052632,6.0916514,2.895457529500767,15.822264248954651
615,3.368421,4.9945555,3.9991149177625633,38.76494324915292
972,4.7894735,6.7713246,4.040441176285185,28.75915463673566
803,4.0789475,7.1733212,1.9921818000458764,29.317817245810954
990,4.7894735,9.744102,2.477459223048382,12.880148543801532
979,4.7894735,7.7622504,1.3243654043404225,41.933960175460186
989,4.7894735,9.413794,2.07682451013817,37.18446784092776
736,3.8421052,5.9618874,2.012836419707517,18.617296255382797
497,2.8947368,4.491833,1.9483848446870278,26.362418491235555
193,1.7105263,2.4183302,4.005337791606956,36.84784713194922
856,4.3157897,6.6969147,2.610786365161151,17.40252111063912
23,1.0,1.7586207,2.685573206547592,50.89843566063112
1028,5.0263157,6.4128857,3.077598391438298,13.262692759616193
1105,5.263158,9.618875,2.1124029043845067,25.220120516077664
977,4.7894735,7.431942,1.3308287641334675,24.323446595841876
984,4.7894735,8.753176,1.9453401366091194,17.247940115150726
1044,5.0263157,9.186026,0.4489291901164951,10.19989369025838
731,3.8421052,5.1669693,1.4836317800319967,32.791488217459715
621,3.368421,5.69147,2.9755007258975033,7.922208335625919
865,4.3157897,7.8874774,1.2688443377344265,14.454501162488974
369,2.4210527,3.0889292,4.538144386703863,26.75135039151508
548,3.131579,3.995463,1.4642780494244063,23.853275048488115
683,3.6052632,6.3402905,2.485947787308704,25.795182019556737
429,2.6578948,3.391107,1.1188044188763504,16.712521794669097
919,4.5526314,7.3784027,2.820351784135858,4.184300928739587
553,3.131579,4.427405,0.2141274688988717,37.372672063555164
93,1.2368422,2.6016333,2.0817567188200137,13.851533271861555
239,1.7105263,5.131579,2.972081789492496,20.104880512060873
119,1.2368422,3.7105262,3.3886056049686286,21.393426410116994
414,2.4210527,6.9292197,2.609557256220372,17.133553281268448
320,2.1842105,3.6905627,2.781730847065809,15.986861853337983
575,3.131579,6.8030853,2.9748862392410342,29.631263231780203
269,1.9473684,3.8275862,1.829607405434294,30.55894262520899
463,2.6578948,6.5072594,1.114581436675714,18.809200391291775
105,1.2368422,3.11343,3.036809655604525,16.00774089610632
287,1.9473684,5.036298,1.943331876153187,35.22183022349847
812,4.0789475,8.579855,2.6274713005519,28.50448721451847
767,3.8421052,9.93648,2.034309264366158,28.578919475300953
338,2.1842105,5.0462794,3.1858121448695766,22.683175535080082
417,2.4210527,7.0961885,1.3375901093134377,17.05607710897308
234,1.7105263,4.895644,1.0279788554058658,23.656041288854507
