A,B,Du,Dv
0.5,0.5,1,9
0.5,0.5,1,13
0.5,0.5892857142857143,1,9
0.5,0.5892857142857143,1,13
0.5,0.6785714285714286,1,9
0.5,0.6785714285714286,1,13
0.5,0.7678571428571428,1,9
0.5,0.7678571428571428,1,13
0.5,0.8571428571428572,1,9
0.5,0.8571428571428572,1,13
0.5,0.9464285714285714,1,9
0.5,0.9464285714285714,1,13
0.5,1.0357142857142856,1,9
0.5,1.0357142857142856,1,13
0.5,1.125,1,9
0.5,1.125,1,13
0.5,1.2142857142857144,1,9
0.5,1.2142857142857144,1,13
0.5,1.3035714285714286,1,9
0.5,1.3035714285714286,1,13
0.5,1.3928571428571428,1,9
0.5,1.3928571428571428,1,13
0.5,1.4821428571428572,1,9
0.5,1.4821428571428572,1,13
0.5,1.5714285714285714,1,9
0.5,1.5714285714285714,1,13
0.5,1.6607142857142858,1,9
0.5,1.6607142857142858,1,13
0.5,1.75,1,9
0.5,1.75,1,13
0.6785714285714286,0.6785714285714286,1,9
0.6785714285714286,0.6785714285714286,1,13
0.6785714285714286,0.7997448979591837,1,9
0.6785714285714286,0.7997448979591837,1,13
0.6785714285714286,0.9209183673469389,1,9
0.6785714285714286,0.9209183673469389,1,13
0.6785714285714286,1.0420918367346939,1,9
0.6785714285714286,1.0420918367346939,1,13
0.6785714285714286,1.1632653061224492,1,9
0.6785714285714286,1.1632653061224492,1,13
0.6785714285714286,1.284438775510204,1,9
0.6785714285714286,1.284438775510204,1,13
0.6785714285714286,1.405612244897959,1,9
0.6785714285714286,1.405612244897959,1,13
0.6785714285714286,1.5267857142857144,1,9
0.6785714285714286,1.5267857142857144,1,13
0.6785714285714286,1.6479591836734697,1,9
0.6785714285714286,1.6479591836734697,1,13
0.6785714285714286,1.7691326530612246,1,9
0.6785714285714286,1.7691326530612246,1,13
0.6785714285714286,1.8903061224489797,1,9
0.6785714285714286,1.8903061224489797,1,13
0.6785714285714286,2.0114795918367347,1,9
0.6785714285714286,2.0114795918367347,1,13
0.6785714285714286,2.13265306122449,1,9
0.6785714285714286,2.13265306122449,1,13
0.6785714285714286,2.253826530612245,1,9
0.6785714285714286,2.253826530612245,1,13
0.6785714285714286,2.375,1,9
0.6785714285714286,2.375,1,13
0.8571428571428572,0.8571428571428572,1,9
0.8571428571428572,0.8571428571428572,1,13
0.8571428571428572,1.0102040816326532,1,9
0.8571428571428572,1.0102040816326532,1,13
0.8571428571428572,1.1632653061224492,1,9
0.8571428571428572,1.1632653061224492,1,13
0.8571428571428572,1.316326530612245,1,9
0.8571428571428572,1.316326530612245,1,13
0.8571428571428572,1.4693877551020411,1,9
0.8571428571428572,1.4693877551020411,1,13
0.8571428571428572,1.6224489795918369,1,9
0.8571428571428572,1.6224489795918369,1,13
0.8571428571428572,1.7755102040816326,1,9
0.8571428571428572,1.7755102040816326,1,13
0.8571428571428572,1.9285714285714288,1,9
0.8571428571428572,1.9285714285714288,1,13
0.8571428571428572,2.081632653061225,1,9
0.8571428571428572,2.081632653061225,1,13
0.8571428571428572,2.234693877551021,1,9
0.8571428571428572,2.234693877551021,1,13
0.8571428571428572,2.3877551020408165,1,9
0.8571428571428572,2.3877551020408165,1,13
0.8571428571428572,2.5408163265306127,1,9
0.8571428571428572,2.5408163265306127,1,13
0.8571428571428572,2.6938775510204085,1,9
0.8571428571428572,2.6938775510204085,1,13
0.8571428571428572,2.8469387755102042,1,9
0.8571428571428572,2.8469387755102042,1,13
0.8571428571428572,3.0,1,9
0.8571428571428572,3.0,1,13
1.0357142857142856,1.0357142857142856,1,9
1.0357142857142856,1.0357142857142856,1,13
1.0357142857142856,1.2206632653061222,1,9
1.0357142857142856,1.2206632653061222,1,13
1.0357142857142856,1.405612244897959,1,9
1.0357142857142856,1.405612244897959,1,13
1.0357142857142856,1.5905612244897955,1,9
1.0357142857142856,1.5905612244897955,1,13
1.0357142857142856,1.7755102040816326,1,9
1.0357142857142856,1.7755102040816326,1,13
1.0357142857142856,1.960459183673469,1,9
1.0357142857142856,1.960459183673469,1,13
1.0357142857142856,2.1454081632653055,1,9
1.0357142857142856,2.1454081632653055,1,13
1.0357142857142856,2.3303571428571423,1,9
1.0357142857142856,2.3303571428571423,1,13
1.0357142857142856,2.5153061224489797,1,9
1.0357142857142856,2.5153061224489797,1,13
1.0357142857142856,2.700255102040816,1,9
1.0357142857142856,2.700255102040816,1,13
1.0357142857142856,2.8852040816326525,1,9
1.0357142857142856,2.8852040816326525,1,13
1.0357142857142856,3.0701530612244894,1,9
1.0357142857142856,3.0701530612244894,1,13
1.0357142857142856,3.2551020408163263,1,9
1.0357142857142856,3.2551020408163263,1,13
1.0357142857142856,3.440051020408163,1,9
1.0357142857142856,3.440051020408163,1,13
1.0357142857142856,3.6249999999999996,1,9
1.0357142857142856,3.6249999999999996,1,13
1.2142857142857144,1.2142857142857144,1,9
1.2142857142857144,1.2142857142857144,1,13
1.2142857142857144,1.431122448979592,1,9
1.2142857142857144,1.431122448979592,1,13
1.2142857142857144,1.6479591836734697,1,9
1.2142857142857144,1.6479591836734697,1,13
1.2142857142857144,1.864795918367347,1,9
1.2142857142857144,1.864795918367347,1,13
1.2142857142857144,2.081632653061225,1,9
1.2142857142857144,2.081632653061225,1,13
1.2142857142857144,2.298469387755102,1,9
1.2142857142857144,2.298469387755102,1,13
1.2142857142857144,2.5153061224489797,1,9
1.2142857142857144,2.5153061224489797,1,13
1.2142857142857144,2.7321428571428577,1,9
1.2142857142857144,2.7321428571428577,1,13
1.2142857142857144,2.948979591836735,1,9
1.2142857142857144,2.948979591836735,1,13
1.2142857142857144,3.1658163265306127,1,9
1.2142857142857144,3.1658163265306127,1,13
1.2142857142857144,3.38265306122449,1,9
1.2142857142857144,3.38265306122449,1,13
1.2142857142857144,3.599489795918368,1,9
1.2142857142857144,3.599489795918368,1,13
1.2142857142857144,3.8163265306122454,1,9
1.2142857142857144,3.8163265306122454,1,13
1.2142857142857144,4.033163265306123,1,9
1.2142857142857144,4.033163265306123,1,13
1.2142857142857144,4.25,1,9
1.2142857142857144,4.25,1,13
1.3928571428571428,1.3928571428571428,1,9
1.3928571428571428,1.3928571428571428,1,13
1.3928571428571428,1.6415816326530612,1,9
1.3928571428571428,1.6415816326530612,1,13
1.3928571428571428,1.8903061224489797,1,9
1.3928571428571428,1.8903061224489797,1,13
1.3928571428571428,2.139030612244898,1,9
1.3928571428571428,2.139030612244898,1,13
1.3928571428571428,2.3877551020408165,1,9
1.3928571428571428,2.3877551020408165,1,13
1.3928571428571428,2.6364795918367343,1,9
1.3928571428571428,2.6364795918367343,1,13
1.3928571428571428,2.8852040816326525,1,9
1.3928571428571428,2.8852040816326525,1,13
1.3928571428571428,3.133928571428571,1,9
1.3928571428571428,3.133928571428571,1,13
1.3928571428571428,3.38265306122449,1,9
1.3928571428571428,3.38265306122449,1,13
1.3928571428571428,3.631377551020408,1,9
1.3928571428571428,3.631377551020408,1,13
1.3928571428571428,3.8801020408163263,1,9
1.3928571428571428,3.8801020408163263,1,13
1.3928571428571428,4.128826530612245,1,9
1.3928571428571428,4.128826530612245,1,13
1.3928571428571428,4.377551020408163,1,9
1.3928571428571428,4.377551020408163,1,13
1.3928571428571428,4.626275510204081,1,9
1.3928571428571428,4.626275510204081,1,13
1.3928571428571428,4.875,1,9
1.3928571428571428,4.875,1,13
1.5714285714285714,1.5714285714285714,1,9
1.5714285714285714,1.5714285714285714,1,13
1.5714285714285714,1.8520408163265307,1,9
1.5714285714285714,1.8520408163265307,1,13
1.5714285714285714,2.13265306122449,1,9
1.5714285714285714,2.13265306122449,1,13
1.5714285714285714,2.4132653061224487,1,9
1.5714285714285714,2.4132653061224487,1,13
1.5714285714285714,2.6938775510204085,1,9
1.5714285714285714,2.6938775510204085,1,13
1.5714285714285714,2.9744897959183674,1,9
1.5714285714285714,2.9744897959183674,1,13
1.5714285714285714,3.2551020408163263,1,9
1.5714285714285714,3.2551020408163263,1,13
1.5714285714285714,3.5357142857142856,1,9
1.5714285714285714,3.5357142857142856,1,13
1.5714285714285714,3.8163265306122454,1,9
1.5714285714285714,3.8163265306122454,1,13
1.5714285714285714,4.096938775510204,1,9
1.5714285714285714,4.096938775510204,1,13
1.5714285714285714,4.377551020408163,1,9
1.5714285714285714,4.377551020408163,1,13
1.5714285714285714,4.658163265306123,1,9
1.5714285714285714,4.658163265306123,1,13
1.5714285714285714,4.938775510204081,1,9
1.5714285714285714,4.938775510204081,1,13
1.5714285714285714,5.219387755102041,1,9
1.5714285714285714,5.219387755102041,1,13
1.5714285714285714,5.5,1,9
1.5714285714285714,5.5,1,13
1.75,1.75,1,9
1.75,1.75,1,13
1.75,2.0625,1,9
1.75,2.0625,1,13
1.75,2.375,1,9
1.75,2.375,1,13
1.75,2.6875,1,9
1.75,2.6875,1,13
1.75,3.0,1,9
1.75,3.0,1,13
1.75,3.3125,1,9
1.75,3.3125,1,13
1.75,3.6249999999999996,1,9
1.75,3.6249999999999996,1,13
1.75,3.9375,1,9
1.75,3.9375,1,13
1.75,4.25,1,9
1.75,4.25,1,13
1.75,4.5625,1,9
1.75,4.5625,1,13
1.75,4.875,1,9
1.75,4.875,1,13
1.75,5.1875,1,9
1.75,5.1875,1,13
1.75,5.5,1,9
1.75,5.5,1,13
1.75,5.8125,1,9
1.75,5.8125,1,13
1.75,6.125,1,9
1.75,6.125,1,13
1.9285714285714286,1.9285714285714286,1,9
1.9285714285714286,1.9285714285714286,1,13
1.9285714285714286,2.2729591836734695,1,9
1.9285714285714286,2.2729591836734695,1,13
1.9285714285714286,2.61734693877551,1,9
1.9285714285714286,2.61734693877551,1,13
1.9285714285714286,2.961734693877551,1,9
1.9285714285714286,2.961734693877551,1,13
1.9285714285714286,3.306122448979592,1,9
